ID,Year,Games_Won,Games_Lost,Games_Drawn,Points_For,Points_Against,Percentage,Ladder_Position,Finals,Teams,Average_Age,Ladder_Position_Prev,Teams_Prev,Ladder_Position_Next,Teams_Next,Close_Games_Won,Close_Games_Lost,Away_Games_Won,Last_Five,Average_Attendance,Players_Used,Victorian
250,199x,12,10,0,2250,2071,108.64,8,Finalist,16,24.6,14.0,16.0,1,16,5,6,5,2,53944.0,38,True
1035,195x,12,6,0,1485,1205,123.24,3,Finalist,12,24.5,5.0,12.0,12,12,3,3,6,2,26001.0,35,True
605,189x,11,3,0,704,383,183.81,1,Runner-up,8,23.7,,,4,8,3,2,5,4,4000.0,34,True
694,193x,3,15,0,1367,1932,70.76,12,,12,23.7,12.0,12.0,10,12,0,2,1,0,12557.0,38,False
1131,191x,13,1,0,970,678,143.07,1,Premier,8,24.7,3.0,6.0,2,9,6,1,6,5,37689.0,29,False
1019,195x,12,6,0,1323,1018,129.96,5,,12,23.1,2.0,12.0,4,12,3,3,5,3,29209.0,32,True
507,200x,5,17,0,1708,2590,65.95,14,,16,24.1,13.0,16.0,8,16,1,0,2,2,29637.0,36,False
447,196x,14,3,1,1425,1133,125.77,2,Finalist,12,22.9,6.0,12.0,2,12,7,1,6,2,34287.0,35,True
1534,190x,0,17,0,490,1170,41.88,8,,8,23.2,8.0,8.0,5,8,0,2,0,0,,41,True
1563,194x,1,8,1,731,989,73.91,11,,11,25.3,7.0,11.0,9,12,0,1,0,0,7100.0,34,True
317,201x,15,7,0,2154,1754,122.81,5,Finalist,18,24.9,12.0,18.0,8,18,2,2,8,3,49347.0,36,True
1380,195x,9,8,1,1263,1275,99.06,6,,12,22.8,4.0,12.0,11,12,3,2,2,2,27336.0,39,True
442,193x,10,8,0,1600,1580,101.27,6,,12,24.7,7.0,12.0,8,12,2,3,3,2,16000.0,35,True
1443,193x,7,11,0,1386,1488,93.15,7,,12,24.5,12.0,12.0,10,12,1,2,2,1,13028.0,44,True
408,195x,11,7,0,1447,1223,118.32,2,Runner-up,12,23.5,6.0,12.0,5,12,1,3,5,3,32593.0,33,True
433,202x,15,7,0,2131,1599,133.27,4,Finalist,18,25.2,2.0,18.0,6,18,1,2,6,3,18037.0,32,False
380,198x,12,10,0,2189,2026,108.05,5,Finalist,14,24.2,11.0,12.0,5,14,0,3,5,4,26608.0,39,True
56,199x,5,16,1,1860,2453,75.83,16,,16,23.5,8.0,16.0,3,16,1,0,2,1,19913.0,41,False
865,197x,4,18,0,1932,2445,79.02,12,,12,22.8,11.0,12.0,9,12,1,2,1,1,14148.0,35,False
